id,label,text
1,humor,"Practice makes perfect. Nobody's perfect. I'm so confused."
2,humor,"85% of conversations with my mom is trying to figure out who the she in her story is."
3,humor,"Why did the mexican take xanax? For hispanic attacks."
4,humor,"How do we know Jesus wasn't good with the ladies? He only got nailed once."
5,humor,"What is Michael J Fox's favourite song? Shake It Off by Taylor Swift."
6,humor,"My friend really changed when she became a vegetarian. It's like I've never seen herbivore."
7,humor,"I just stopped by the Apple store to use the restroom. iPeed."
8,humor,"Women can be sexist too. It's just that men are better at it like everything else."
9,humor,"Actually, I thought 50 Shades Of Grey was about Taco Bell meat."
10,humor,"What do The Sixth Sense and Titanic have in common? Icy Dead People."
11,humor,"The universe would be light if all of its mass turned into energy."
12,humor,"Password reminder: The hero in second grade who farted instead of saying here during attendance."
13,humor,"I saw a man drinking brake fluid. But then he stopped."
14,humor,"Why are DJs so bad at fishing? Because they're always dropping the Bass."
15,humor,"What is the worst thing about people who don't finish anything?"
16,humor,"My doctor asked if it burns when I pee. I said only when it gets in my eyes."
17,humor,"What did Buddha say to the Pizza guy? Make me one with everything."
18,humor,"Hey dad! Did you get a haircut? No. I got them all cut."
19,humor,"The Bible would be more believable if Adam was tempted by a slice of pizza instead."
20,humor,"What does a fish say when it hits a concrete wall? Dam."
21,humor,"I'll pleasure you in ways you never thought possible like vacuuming and doing dishes."
22,humor,"What is a feminist's least favourite Maths topic? Trigger-nometry."
23,humor,"When someone says it is what it is, I reply isn't it, so we can both sound useless."
24,humor,"How does a lawyer sleep? He rests his case."
25,humor,"Math problems were invented by men, just so women would be wrong some of the time."
26,humor,"My dad's addicted to christmas dinner. But he's been cold turkey every meal since."
27,humor,"After working for 24 hours straight, I called it a day."
28,humor,"Why are gametes so popular? Because sex sells!"
29,humor,"I once farted in the Apple store and everybody got upset. It's not my fault they don't have Windows."
30,humor,"What is a group of porn stars called? A Gaggle."
31,humor,"I bet if a soccer announcer sees a monster, he probably yells GHOOOOUL!"
32,humor,"What has two thumbs and doesn't understand jokes that require a visual component? This guy!"
33,humor,"Was The Little Mermaid directed by a pilot? Because it's mostly aerial footage."
34,humor,"I am the best juggler in the world. But I don't have the balls to show it to you."
35,humor,"My sex life is just like my typing skills. One handed."
36,humor,"Where do Eskimos keep their money? In snowbanks."
37,humor,"Why should you never date an atom? The split is gonna be explosive."
38,humor,"What's the best way for an American to lose weight? Gamble in British currency."
39,humor,"The best ten years of an Irishman's life are third grade."
40,humor,"My air fresheners for insane people got rejected. No cents in making scents for people who don't make sense."
41,humor,"Instead of another love song, someone should write a song about wanting to be left alone for fifteen minutes."
42,humor,"A teacher asked what fruit a witch reminds you of. A pupil answered: a pear."
43,humor,"The KKK adopted a highway. Jokes on them, it's black."
44,humor,"What does a fisherman say when he catches a fish? His catch-phrase."
45,humor,"I once farted in Apple store and everybody got upset. It's not my fault they don't have Windows."
46,humor,"What is a Ninja's favorite beverage? Karatea."
47,humor,"Starbucks, it is 2014. Why don't you sell pickles?"
48,humor,"They're looking for you. Who is? These nuts."
49,humor,"Why did the chicken cross the road? Mayweather won."
50,humor,"The Little Mermaid must have been directed by a pilot. It's mostly aerial footage."
51,neutral,"The average adult human body contains approximately 206 bones and over 600 muscles."
52,neutral,"Water covers about 71 percent of the Earth's surface and is essential for all known life."
53,neutral,"The Great Wall of China stretches over 13,000 miles across northern China."
54,neutral,"Photosynthesis converts carbon dioxide and water into glucose and oxygen using sunlight."
55,neutral,"The speed of light in a vacuum is approximately 186,000 miles per second."
56,neutral,"Tokyo is the most populated metropolitan area in the world with over 37 million residents."
57,neutral,"The periodic table currently contains 118 confirmed chemical elements arranged by atomic number."
58,neutral,"Commercial airplanes typically cruise at an altitude of 35,000 to 42,000 feet above sea level."
59,neutral,"The Amazon River is the largest river by volume of water flow in the world."
60,neutral,"Mount Everest stands at 29,032 feet and is the tallest mountain above sea level."
61,neutral,"The human brain uses roughly 20 percent of the body's total energy consumption."
62,neutral,"Mars has two small moons named Phobos and Deimos which orbit close to the planet."
63,neutral,"The Pacific Ocean is the largest and deepest ocean covering more than 63 million square miles."
64,neutral,"A standard chess board has 64 squares arranged in an 8 by 8 grid pattern."
65,neutral,"The Sahara Desert is the largest hot desert spanning over 3.6 million square miles in Africa."
66,neutral,"DNA contains four nucleotide bases: adenine, thymine, guanine, and cytosine arranged in pairs."
67,neutral,"The International Space Station orbits Earth at about 17,500 miles per hour."
68,neutral,"Bananas are technically classified as berries while strawberries are not true berries botanically."
69,neutral,"The average distance from the Earth to the Moon is approximately 238,855 miles."
70,neutral,"Elephants are the largest living land animals and can weigh up to 14,000 pounds."
71,neutral,"The human heart beats approximately 100,000 times per day pumping blood through the body."
72,neutral,"Sound travels faster through water than through air at approximately 1,480 meters per second."
73,neutral,"The Eiffel Tower in Paris was completed in 1889 and stands 1,083 feet tall."
74,neutral,"Octopuses have three hearts, blue blood, and nine brains distributed throughout their body."
75,neutral,"The longest river in the world is the Nile stretching approximately 4,130 miles through Africa."
76,neutral,"A full rotation of the Earth on its axis takes approximately 23 hours and 56 minutes."
77,neutral,"The deepest point in the ocean is the Mariana Trench at nearly 36,000 feet deep."
78,neutral,"Honey never spoils and archaeologists have found edible honey in ancient Egyptian tombs."
79,neutral,"The average human body temperature is about 98.6 degrees Fahrenheit or 37 degrees Celsius."
80,neutral,"Jupiter is the largest planet in our solar system with a diameter of about 86,881 miles."
81,neutral,"Glass is technically an amorphous solid rather than a true liquid despite common misconceptions."
82,neutral,"The first successful powered airplane flight by the Wright Brothers lasted only 12 seconds."
83,neutral,"Giraffes have the same number of neck vertebrae as humans, which is seven bones."
84,neutral,"The Dead Sea is the lowest point on Earth's surface at about 1,410 feet below sea level."
85,neutral,"A teaspoon of neutron star material would weigh approximately 6 billion tons on Earth."
86,neutral,"The human eye can distinguish approximately 10 million different colors under normal conditions."
87,neutral,"Penguins are flightless birds found primarily in the Southern Hemisphere near Antarctica."
88,neutral,"The average person walks about 100,000 miles in their lifetime, equivalent to circling Earth four times."
