id,label,text
1,metaphor,"Time is money and I'm going bankrupt."
2,metaphor,"She has a heart of stone when it comes to business deals."
3,metaphor,"His words cut deeper than any knife could."
4,metaphor,"The news hit her like a ton of bricks."
5,metaphor,"He drowned in a sea of paperwork at the office."
6,metaphor,"Her smile was a ray of sunshine on that dark morning."
7,metaphor,"The economy is on life support after the crash."
8,metaphor,"Ideas were flowing like a river during the brainstorm."
9,metaphor,"She planted the seeds of doubt in his mind."
10,metaphor,"The politician was dancing around the real question."
11,metaphor,"His anger was a volcano waiting to erupt at any moment."
12,metaphor,"The city never sleeps and neither do its workers."
13,metaphor,"Her voice was velvet wrapping around every word she spoke."
14,metaphor,"He carried the weight of the world on his shoulders."
15,metaphor,"The classroom was a zoo after the teacher stepped out."
16,metaphor,"She built walls around herself that nobody could climb."
17,metaphor,"The detective followed a trail of breadcrumbs to the suspect."
18,metaphor,"His career was a rollercoaster of highs and devastating lows."
19,metaphor,"The company is hemorrhaging money with every passing quarter."
20,metaphor,"Her eyes were windows to a soul full of quiet sadness."
21,metaphor,"The project was dead in the water before it even launched."
22,metaphor,"He was fishing for compliments during the entire dinner party."
23,metaphor,"The new policy is a band-aid on a bullet wound."
24,metaphor,"Her laughter was music that filled the entire empty room."
25,metaphor,"The team hit a wall halfway through the marathon project."
26,metaphor,"His explanation only muddied the waters even further than before."
27,metaphor,"She was the glue holding the entire department together."
28,metaphor,"The rumor spread like wildfire through the small office building."
29,metaphor,"He poured his heart into every painting he ever created."
30,metaphor,"The deadline was breathing down their necks all week long."
31,metaphor,"Her criticism was a bitter pill that he struggled to swallow."
32,metaphor,"The old house groaned under the weight of its many years."
33,metaphor,"He burned bridges with everyone who had ever tried to help."
34,metaphor,"The market is a jungle where only the strongest survive."
35,metaphor,"She wove a tapestry of lies that eventually unraveled completely."
36,metaphor,"His memory was a steel trap that never let anything escape."
37,metaphor,"The negotiations were a chess match between two stubborn grandmasters."
38,metaphor,"Her kindness was an anchor in his otherwise turbulent life."
39,metaphor,"The startup was bleeding cash faster than it could raise more."
40,metaphor,"He was walking on thin ice with his increasingly reckless behavior."
41,metaphor,"The speech ignited a fire in the hearts of the audience."
42,metaphor,"She navigated the treacherous waters of office politics with grace."
43,metaphor,"His pride was armor that kept everyone at a safe distance."
44,metaphor,"The truth finally came to light after years of careful hiding."
45,metaphor,"Her anxiety was a monster lurking in every shadowed corner."
46,metaphor,"The team was running on fumes by the end of the sprint."
47,metaphor,"He painted a rosy picture that had nothing to do with reality."
48,metaphor,"The silence between them was a wall neither dared to break."
49,metaphor,"She breathed new life into the struggling community theater program."
50,metaphor,"The contract was an iron cage they could not escape from."
51,literal,"The meeting lasted exactly two hours and fifteen minutes today."
52,literal,"She completed the financial report before the Friday afternoon deadline."
53,literal,"His email contained three paragraphs explaining the revised project timeline."
54,literal,"The newspaper arrived at the front door at seven in the morning."
55,literal,"He organized the filing cabinet by date and document category."
56,literal,"She smiled when she received the birthday card from her sister."
57,literal,"The stock market declined by three percent during the trading session."
58,literal,"The team discussed several possible approaches during the afternoon meeting."
59,literal,"She asked him a question about the upcoming schedule changes."
60,literal,"The senator answered questions from reporters at the press conference."
61,literal,"He raised his voice when the argument became more heated."
62,literal,"The downtown area has heavy traffic during the morning rush hour."
63,literal,"She spoke clearly and slowly so everyone in the room could hear."
64,literal,"He lifted the heavy box and placed it on the top shelf."
65,literal,"The students were noisy and restless during the substitute teacher's class."
66,literal,"She closed the office door and sat down at her desk."
67,literal,"The detective reviewed the security camera footage from Tuesday evening."
68,literal,"His job involves frequent travel between the New York and London offices."
69,literal,"The company reported a net loss of twelve million dollars this quarter."
70,literal,"She looked out the window at the rain falling on the street."
71,literal,"The software update was released two weeks behind the original schedule."
72,literal,"He asked his coworker for help with the spreadsheet formulas."
73,literal,"The new regulation requires additional documentation for every transaction filed."
74,literal,"She laughed at the joke her friend told during lunch break."
75,literal,"The runners slowed their pace during the second half of the race."
76,literal,"His presentation included several charts showing last quarter's performance data."
77,literal,"She managed the team of eight engineers for the past three years."
78,literal,"The story appeared in the local newspaper on Wednesday morning."
79,literal,"He spent four hours editing the final draft of his report."
80,literal,"The client called to confirm the delivery date for the shipment."
81,literal,"She disagreed with his assessment and explained her reasoning in detail."
82,literal,"The building was constructed in nineteen fifty-two and renovated in two thousand eight."
83,literal,"He ended his professional relationship with the firm after the dispute."
84,literal,"The online marketplace has over two million registered active sellers."
85,literal,"She told a complicated story that turned out to be inaccurate."
86,literal,"He had an excellent memory and rarely forgot any important details."
87,literal,"The two managers spent an hour negotiating the terms of the deal."
88,literal,"She was a reliable employee who consistently met her performance targets."
89,literal,"The startup spent more money than it earned in its first year."
90,literal,"He was taking unnecessary risks that concerned his direct supervisor."
91,literal,"The speaker's remarks received loud applause from the seated audience."
92,literal,"She successfully managed several difficult workplace conflicts over the years."
93,literal,"He was a private person who rarely shared personal information."
94,literal,"The investigation revealed new evidence that had been previously overlooked."
95,literal,"She felt nervous before every important presentation she had to give."
96,literal,"The team worked overtime every day during the final week of the project."
97,literal,"He described the situation in a way that was overly optimistic."
98,literal,"Neither of them spoke for several minutes after the disagreement."
99,literal,"She revitalized the struggling community theater program with new funding."
100,literal,"The terms of the agreement were very restrictive and hard to change."
